monkey_id,body,face
2116,"(831, 2792, 2652, 3974)","(972, 2768, 1481, 3283)"
2117,"(1797, 2002, 3343, 3798)","(2189, 2247, 2944, 3026)"
2118,"(1598, 2891, 2564, 4009)","(2072, 2914, 2558, 3330)"
2119,"(1733, 2399, 3231, 4372)","(1938, 2493, 2716, 3342)"
2120,"(2025, 3213, 2886, 4225)",
2121,"(1622, 2265, 2769, 4161)","(1903, 2271, 2435, 2874)"
2122,"(152, 1709, 1200, 3529)","(334, 1791, 866, 2353)"
2123,"(2072, 1627, 3648, 3529)","(2365, 1709, 3185, 2522)"
2124,"(2623, 2476, 3583, 3389)","(2658, 2493, 3132, 2833)"
2125,"(18, 2417, 521, 4184)","(0, 2458, 135, 2809)"
2126,"(1305, 2399, 2833, 4126)","(1551, 2522, 2330, 3342)"
2127,"(1885, 3318, 2716, 4103)",
2128,"(849, 2025, 2172, 3985)","(1124, 2113, 1797, 2774)"
2129,"(2909, 2218, 3648, 3857)","(3114, 2224, 3648, 3131)"
2130,"(3389, 3087, 3648, 3820)",
2131,"(865, 537, 2267, 2516)","(1338, 617, 2011, 1226)"
2132,"(2964, 745, 4567, 2572)","(3509, 921, 4238, 1755)"
2133,"(3365, 1619, 4174, 2468)","(3549, 1611, 4030, 1915)"
2134,"(857, 1330, 1923, 2853)",
2135,"(3068, 1250, 4607, 2989)","(3605, 1362, 4302, 2172)"
2136,"(3493, 1827, 4286, 2933)","(3942, 1915, 4342, 2356)"
2137,"(2620, 881, 4086, 2981)","(3117, 970, 3998, 1835)"
2138,"(2964, 1667, 4471, 2941)","(3782, 1723, 4294, 2220)"
2139,"(1943, 2124, 3366, 4167)","(2295, 2136, 3056, 2903)"
2140,"(2160, 3172, 3190, 4155)","(2687, 3190, 3126, 3628)"
2141,"(785, 521, 2876, 2500)","(913, 609, 1803, 1402)"
2142,"(817, 481, 2964, 2885)","(1891, 585, 2580, 1346)"
2143,"(1442, 657, 3253, 3045)","(2203, 665, 2948, 1426)"
2144,"(1498, 737, 3317, 2997)","(2155, 697, 3060, 1490)"
2145,"(1563, 1726, 3302, 3500)","(2148, 2025, 2962, 2815)"
2146,"(2066, 2616, 3202, 3430)","(2470, 2610, 2874, 2920)"
2147,"(1036, 1405, 2546, 4032)","(1581, 1469, 2213, 2031)"
2148,"(0, 2341, 351, 4266)","(0, 2382, 299, 2950)"
2149,"(1633, 2534, 3190, 4079)","(2195, 2616, 2851, 3371)"
2150,"(2043, 3377, 3389, 4184)","(2904, 3447, 3290, 3933)"
2151,"(457, 1007, 3641, 4735)","(1019, 1042, 2424, 2558)"
2152,"(621, 948, 3648, 4723)","(1276, 942, 2646, 2423)"
2153,"(656, 293, 3648, 5384)","(954, 293, 2997, 2160)"
2154,"(527, 29, 3648, 5320)","(919, 6, 2804, 1574)"
2155,"(1142, 1422, 3648, 4179)","(1791, 1410, 2664, 2335)"
2156,"(41, 615, 2816, 4331)","(1007, 667, 2207, 1984)"
2157,"(18, 2048, 1405, 4495)",
2158,"(591, 825, 3360, 4325)","(1171, 790, 2494, 1890)"
2159,"(1346, 2277, 2822, 4231)","(1698, 2288, 2482, 3102)"
2160,"(345, 708, 2699, 3640)","(1850, 813, 2587, 1715)"
2161,"(211, 556, 3648, 4618)","(755, 568, 2055, 1656)"
2162,"(761, 1036, 3624, 4465)","(995, 1018, 2511, 2575)"
2163,"(404, 2423, 1791, 4413)","(515, 2452, 1692, 3365)"
2164,"(0, 996, 1096, 3589)",
2165,"(392, 1440, 3407, 4594)","(697, 1440, 2166, 3037)"
2166,"(568, 2914, 2031, 4266)","(1001, 2920, 2020, 3669)"
2167,"(0, 1057, 834, 3705)",
2168,"(650, 1469, 3641, 4284)","(843, 1440, 2277, 2944)"
2169,"(1212, 2751, 3044, 4582)","(2394, 2727, 3026, 3558)"
2170,"(0, 749, 1158, 3774)",
2171,"(1633, 2686, 3618, 5472)",
2172,"(12, 1012, 2909, 5332)","(1188, 2347, 2669, 4097)"
2173,"(2822, 281, 3648, 3751)","(2904, 369, 3648, 1505)"
2174,"(6, 1744, 3512, 5472)","(1862, 1808, 3337, 3465)"
2175,"(714, 1235, 3266, 4594)","(866, 1258, 1967, 2376)"
2176,"(164, 761, 2775, 5472)","(322, 773, 1780, 1890)"
2177,"(12, 802, 3648, 5179)",
2178,"(521, 1797, 2751, 4430)","(691, 1838, 1581, 2733)"
2179,"(667, 2212, 3255, 4641)","(779, 2271, 1639, 3213)"
2180,"(720, 2083, 2412, 4243)","(1048, 2054, 1908, 3037)"
2181,"(626, 1890, 2125, 4395)","(837, 1908, 1756, 2874)"
2182,"(146, 1849, 2260, 4465)","(790, 1896, 1604, 2950)"
2183,"(1346, 901, 3302, 3810)","(1592, 884, 2558, 2007)"
2184,"(6, 1662, 2125, 2809)","(1305, 1756, 2096, 2727)"
2185,"(0, 2060, 2470, 4717)","(340, 2013, 1288, 3043)"
2186,"(890, 2265, 2699, 4822)","(1259, 2405, 2037, 3324)"
2187,"(18, 1615, 1235, 4495)","(12, 1680, 708, 2821)"
2188,"(790, 1522, 3009, 4319)",
2189,"(23, 1071, 1709, 4155)","(410, 1094, 1522, 2160)"
2190,"(1300, 1639, 3465, 4805)","(1434, 1726, 2265, 2663)"
2191,"(23, 2376, 2558, 5472)","(369, 2370, 1551, 3424)"
2192,"(1165, 1527, 3648, 4577)","(3360, 1574, 3648, 2505)"
2193,"(0, 2405, 1797, 5472)","(23, 2517, 1101, 3857)"
2194,"(158, 2399, 2412, 5191)","(416, 2487, 1358, 3453)"
2195,"(363, 187, 3648, 4366)","(1534, 696, 2453, 1533)"
2196,"(6, 1855, 1581, 5472)","(23, 1955, 1112, 3131)"
2197,"(1417, 2563, 3648, 4606)","(1504, 3664, 2195, 4483)"
2198,"(12, 1358, 2974, 5472)","(779, 1814, 1867, 2885)"
2199,"(1938, 1340, 3559, 4307)","(2459, 1457, 3343, 2306)"
2200,"(0, 1879, 2172, 5472)","(708, 1902, 1973, 3108)"
2201,"(1153, 2031, 3648, 4419)","(1276, 2113, 2183, 2628)"
2202,"(41, 2353, 2763, 5390)","(1662, 2364, 2763, 3283)"
2203,"(3189, 136, 5472, 2436)","(3317, 272, 4302, 946)"
2204,"(1634, 529, 4358, 3197)","(3333, 601, 4286, 1707)"
2205,"(2243, 801, 5184, 3077)","(4158, 1330, 4999, 2476)"
2206,"(24, 144, 3125, 3648)","(1218, 136, 2299, 1530)"
2207,"(2163, 1018, 5023, 3157)","(4062, 1330, 4815, 2564)"
2208,"(16, 393, 3229, 3566)","(1226, 433, 2323, 1691)"
2209,"(2684, 1114, 5280, 3277)","(4246, 1603, 5184, 2885)"
2210,"(88, 601, 3725, 3406)","(1923, 609, 2844, 1787)"
2211,"(2796, 753, 4927, 3165)","(3774, 1723, 4815, 2572)"
2212,"(353, 665, 3830, 3349)","(2355, 681, 3229, 1795)"
2213,"(2043, 1402, 5015, 3117)","(3838, 1386, 5023, 2300)"
2214,"(8, 585, 2756, 3357)","(1787, 649, 2748, 1819)"
2215,"(2524, 1394, 5224, 3237)","(4126, 1659, 5192, 2797)"
2216,"(80, 857, 3766, 3470)","(2163, 921, 3020, 2212)"
2217,"(2612, 1082, 5312, 3069)","(4310, 1522, 5296, 2636)"
2218,"(216, 657, 3902, 3229)","(2291, 873, 3245, 2268)"
2219,"(2868, 1106, 5184, 2869)","(4334, 1522, 5200, 2588)"
2220,"(144, 769, 3301, 3325)","(2379, 938, 3221, 2308)"
2221,"(3012, 1162, 5472, 3197)","(4567, 1819, 5432, 3069)"
2222,"(433, 737, 3806, 3189)","(2820, 921, 3725, 2300)"
2223,"(2788, 1643, 5472, 3518)","(4799, 2188, 5472, 3229)"
2224,"(641, 513, 3429, 3574)","(2355, 593, 3277, 1819)"
2225,"(2371, 1466, 5312, 3365)","(4182, 2043, 5144, 2949)"
2226,"(88, 449, 3469, 3406)","(1795, 433, 2812, 1707)"
2227,"(2468, 1514, 5344, 3357)","(4406, 1859, 5328, 2957)"
2228,"(200, 473, 3429, 3414)","(1947, 529, 3068, 1875)"
2229,"(1995, 1835, 4759, 3648)","(3830, 2316, 4655, 3422)"
2230,"(128, 753, 3044, 3648)","(1827, 785, 2700, 1955)"
2231,"(1779, 1811, 4535, 3648)","(3269, 2548, 4527, 3648)"
2232,"(345, 288, 2996, 3486)","(1763, 377, 2884, 1619)"
2233,"(2043, 1715, 4719, 3550)","(3557, 2396, 4663, 3365)"
2234,"(601, 296, 3285, 3245)","(2195, 272, 3245, 1563)"
2235,"(1487, 3184, 3648, 5027)","(2781, 4009, 3648, 5021)"
2236,"(82, 1627, 2541, 4454)","(1692, 1609, 2488, 2786)"
2237,"(2175, 2029, 4600, 3487)","(3625, 2288, 4592, 3185)"
2238,"(561, 734, 2598, 3648)","(1769, 708, 2693, 1865)"
2239,"(1959, 1942, 4419, 3323)","(3590, 2210, 4436, 3116)"
2240,"(371, 458, 2451, 3487)","(1536, 475, 2434, 1640)"
2241,"(2028, 1718, 4410, 3648)","(3608, 2641, 4393, 3565)"
2242,"(518, 354, 3055, 3358)","(2089, 363, 3064, 1493)"
2243,"(2701, 1398, 5127, 3272)","(4177, 2357, 5118, 3263)"
2244,"(1260, 0, 3720, 2909)","(2684, 0, 3677, 1088)"
2245,"(1994, 1096, 5472, 3648)","(2140, 1114, 3237, 2624)"
2246,"(95, 1096, 3332, 3648)","(78, 1096, 2356, 2875)"
2247,"(2210, 1476, 5472, 3648)","(2218, 1519, 3383, 2909)"
2248,"(285, 1139, 3496, 3648)","(259, 1148, 2408, 3177)"
2249,"(0, 445, 3021, 5472)","(925, 427, 2295, 2013)"
2250,"(0, 0, 3313, 4992)","(0, 1492, 1142, 2721)"
2251,"(0, 2493, 3325, 5472)","(919, 2511, 2195, 3634)"
2252,"(0, 2002, 1715, 3874)","(896, 1990, 1651, 2610)"
2253,"(562, 2417, 2933, 4588)",
2254,"(187, 2124, 1709, 3851)","(896, 2119, 1616, 2774)"
2255,"(761, 2522, 2599, 4764)","(1990, 2511, 2482, 3178)"
2256,"(480, 2201, 2558, 3997)","(948, 2206, 1440, 2838)"
2257,"(556, 808, 3278, 2944)","(562, 802, 1452, 1580)"
2258,"(1112, 2119, 3571, 5138)","(1300, 2124, 2113, 2862)"
2259,"(726, 2794, 1444, 4453)","(1173, 2709, 1366, 3203)"
2260,"(983, 1077, 2546, 3277)","(989, 1083, 1815, 1902)"
2261,"(1118, 2505, 3648, 5472)","(1282, 2493, 2102, 3242)"
2262,"(1323, 585, 3489, 5472)","(1440, 574, 2921, 2353)"
2263,"(1194, 2856, 1961, 4711)","(1300, 2862, 1943, 3500)"
2264,"(896, 1826, 3648, 4922)","(1229, 1849, 2154, 2797)"
2265,"(0, 732, 2804, 5472)","(691, 726, 2148, 2148)"
2266,"(0, 1018, 3050, 5472)","(1118, 1024, 2160, 2218)"
2267,"(697, 2095, 3648, 5402)","(673, 3781, 2078, 5197)"
2268,"(1083, 240, 3648, 4729)","(1323, 252, 2582, 2072)"
2269,"(574, 1990, 3648, 5285)","(585, 3541, 2055, 4945)"
2270,"(1077, 281, 3648, 4618)","(1194, 275, 2634, 1996)"
2271,"(0, 0, 3606, 5472)","(1662, 1012, 2792, 2247)"
2272,"(457, 802, 3607, 5472)","(1411, 796, 2482, 1820)"
2273,"(0, 620, 2289, 5472)","(0, 1375, 1065, 2376)"
2274,"(1422, 1024, 3460, 5472)","(1522, 1042, 3021, 2540)"
2275,"(1826, 468, 3648, 5472)","(1961, 462, 3600, 2025)"
2276,"(656, 328, 2365, 3280)","(1139, 345, 2356, 1726)"
2277,"(362, 837, 4039, 3648)","(2140, 786, 4022, 2598)"
2278,"(328, 397, 2745, 3323)","(1200, 363, 2365, 1752)"
2279,"(268, 1217, 3953, 3648)","(2598, 1209, 3936, 3013)"
2280,"(796, 1592, 3126, 5045)","(1089, 1604, 2213, 2879)"
2281,"(562, 0, 3648, 5472)","(544, 1405, 1733, 2657)"
2282,"(433, 1943, 3249, 5472)","(1042, 1949, 2447, 3500)"
2283,"(0, 878, 3266, 5378)","(960, 866, 2388, 2411)"
2284,"(0, 1457, 2827, 5472)","(1499, 1440, 2798, 2955)"
2285,"(123, 1106, 2827, 5472)","(1382, 1100, 2786, 2493)"
2286,"(176, 977, 2851, 5472)","(1341, 966, 2740, 2686)"
2287,"(193, 685, 2974, 5472)","(1598, 679, 2997, 2113)"
2288,"(831, 2189, 3319, 4618)","(1036, 2201, 1733, 3020)"
2289,"(1481, 2985, 2904, 5472)","(1891, 3002, 2605, 3898)"
2290,"(1300, 2206, 2927, 4723)","(1557, 2218, 2242, 3032)"
2291,"(88, 1007, 3648, 5472)","(1106, 1024, 2956, 2844)"
2292,"(70, 1264, 3648, 5472)","(1019, 1270, 2716, 2891)"
2293,"(0, 1001, 3465, 5472)","(896, 989, 2546, 2657)"
2294,"(88, 492, 3648, 5472)","(1223, 486, 3026, 2341)"
2295,"(533, 228, 2868, 5472)","(1013, 240, 2435, 1568)"
2296,"(574, 135, 2851, 5472)","(1218, 99, 2675, 1908)"
2297,"(0, 0, 2985, 5472)","(1194, 907, 2681, 2253)"
2298,"(0, 0, 3044, 5472)","(1223, 831, 2792, 2236)"
2299,"(158, 568, 2863, 5472)","(890, 568, 2541, 2563)"
2300,"(0, 123, 3600, 5472)","(1124, 123, 2816, 1937)"
2301,"(2154, 550, 3471, 4026)","(2312, 585, 2962, 1247)"
2302,"(0, 650, 2336, 5472)","(404, 626, 2301, 2751)"
2303,"(1762, 1159, 3284, 4073)","(1774, 1159, 2640, 2177)"
2304,"(135, 679, 2078, 5472)","(135, 685, 1809, 2786)"
2305,"(1645, 1094, 3465, 4062)","(1639, 1089, 2459, 2083)"
2306,"(0, 790, 2336, 5472)","(293, 796, 1569, 2926)"
2307,"(1194, 281, 3091, 3078)","(1879, 275, 2798, 1141)"
2308,"(1065, 293, 3085, 3020)","(1920, 275, 2833, 1176)"
2309,"(141, 1364, 2551, 4944)","(1105, 1357, 2528, 2765)"
2310,"(215, 1861, 2788, 5472)","(912, 1831, 2358, 3328)"
2311,"(1075, 771, 3300, 3855)","(1342, 808, 2239, 2001)"
2312,"(126, 326, 3418, 5472)","(1090, 341, 3062, 2632)"
2313,"(104, 193, 3418, 5472)","(1149, 200, 3136, 2498)"
2314,"(267, 0, 3581, 5472)","(1142, 0, 3277, 2202)"
2315,"(260, 0, 3559, 5472)","(1083, 0, 3033, 1935)"
2316,"(171, 526, 3211, 5472)","(1572, 556, 3225, 2476)"
2317,"(452, 7, 3351, 5472)","(1564, 0, 3351, 1831)"
2318,"(497, 30, 3648, 5472)","(1846, 22, 3648, 1668)"
2319,"(267, 0, 3574, 5472)","(1772, 0, 3604, 1912)"
2320,"(234, 289, 2258, 3648)","(601, 323, 1824, 1502)"
2321,"(2625, 122, 5238, 3648)","(4393, 89, 5294, 1568)"
2322,"(326, 400, 3122, 5472)","(882, 423, 2484, 2090)"
2323,"(3248, 2461, 3648, 4996)",
2324,"(853, 430, 3322, 5472)","(1594, 452, 3270, 2127)"
2325,"(801, 838, 2936, 5204)","(1542, 815, 2958, 2298)"
2326,"(3351, 2328, 3648, 4744)",
2327,"(801, 852, 2914, 5330)","(1490, 882, 2907, 2424)"
2328,"(3262, 2313, 3648, 4974)",
2329,"(0, 549, 3648, 5472)","(727, 549, 2039, 2135)"
2330,"(326, 860, 3648, 5472)","(1045, 860, 2484, 2402)"
2331,"(96, 445, 3648, 5211)","(1290, 445, 2877, 1846)"
2332,"(400, 771, 2729, 5472)","(727, 771, 2135, 2246)"
2333,"(601, 749, 2855, 5472)","(749, 734, 2009, 2298)"
2334,"(0, 660, 2773, 5389)","(1246, 675, 2610, 2083)"
2335,"(0, 1016, 2936, 5472)","(1564, 1001, 2907, 2387)"
2336,"(630, 1809, 3351, 4781)","(2439, 1772, 3366, 3069)"
2337,"(0, 0, 3648, 5472)","(556, 30, 2528, 2098)"
2338,"(1809, 2580, 3648, 5472)","(1846, 2513, 2966, 3536)"
2339,"(0, 1193, 2669, 5078)","(52, 1179, 1520, 2713)"
2340,"(1594, 1119, 3648, 5472)","(1787, 1134, 3648, 3017)"
2341,"(801, 2202, 3648, 5018)","(927, 2157, 1913, 3247)"
2342,"(0, 949, 1105, 4477)","(0, 1045, 771, 2691)"
2343,"(652, 712, 3648, 4922)","(1216, 726, 3099, 2661)"
2344,"(1201, 1838, 2729, 4440)","(1587, 1816, 2336, 2454)"
2345,"(1105, 1008, 2966, 4611)","(1387, 1023, 2395, 2298)"
2346,"(1127, 1201, 3218, 4855)","(1995, 1208, 3122, 2431)"
2347,"(1201, 993, 3240, 4752)","(1765, 1023, 2847, 2231)"
2348,"(1068, 1156, 3159, 4715)","(1505, 1156, 2551, 2520)"
2349,"(712, 1386, 2476, 3966)","(1357, 2394, 2447, 3514)"
2350,"(0, 222, 4538, 3404)","(3047, 178, 4527, 1591)"
2351,"(0, 0, 1813, 934)","(1123, 44, 1824, 612)"
2352,"(323, 456, 5339, 3393)","(4193, 556, 5361, 1902)"
2353,"(0, 556, 5238, 3648)","(4160, 634, 5227, 2036)"
2354,"(0, 630, 2528, 5115)","(1090, 615, 2551, 2076)"
2355,"(1542, 1964, 2877, 5472)","(1550, 1972, 2773, 3173)"
2356,"(0, 519, 2773, 4411)","(1653, 519, 2758, 1942)"
2357,"(1802, 1853, 3388, 5241)","(1802, 1883, 2536, 2476)"
2358,"(0, 519, 3107, 4233)","(1928, 534, 3033, 1972)"
2359,"(2091, 1772, 3544, 4996)","(2076, 1779, 2692, 2357)"
2360,"(3793, 0, 5472, 2870)",
2361,"(0, 712, 4326, 2803)","(3114, 1379, 4304, 2770)"
2362,"(2391, 0, 4148, 1268)",
2363,"(4082, 0, 5472, 2992)",
2364,"(0, 845, 4304, 2837)","(3081, 1246, 4293, 2825)"
2365,"(2536, 0, 4427, 1357)",
2366,"(4249, 0, 5472, 2970)",
2367,"(0, 812, 4527, 2814)","(3337, 1479, 4549, 2814)"
2368,"(2658, 0, 4604, 1313)",
2369,"(4293, 0, 5472, 2714)",
2370,"(0, 523, 5016, 2659)","(3537, 1235, 4849, 2636)"
2371,"(2502, 11, 4493, 1268)",
2372,"(4705, 0, 5472, 2725)",
2373,"(278, 612, 5016, 2670)","(3481, 1168, 5005, 2592)"
2374,"(2814, 0, 5027, 1246)",
2375,"(4883, 0, 5472, 2525)",
2376,"(389, 467, 5127, 2659)","(3759, 1224, 5105, 2670)"
2377,"(3036, 0, 4860, 1246)",
2378,"(801, 634, 4894, 3648)","(2413, 601, 4894, 2692)"
2379,"(456, 456, 2881, 3648)","(1123, 512, 2914, 2236)"
2380,"(545, 1657, 5472, 3648)",
2381,"(0, 56, 3904, 3648)","(1335, 44, 3904, 2236)"
2382,"(0, 245, 2499, 5472)","(630, 237, 2469, 2157)"
2383,"(1616, 1586, 3426, 5472)","(1794, 1572, 2892, 2906)"
2384,"(0, 230, 2706, 5472)","(623, 252, 2692, 2713)"
2385,"(1683, 1987, 3648, 5472)","(1661, 1987, 3077, 3603)"
2386,"(1134, 148, 3470, 5472)","(1372, 170, 3159, 2061)"
2387,"(1891, 1950, 3411, 5330)","(2076, 1972, 3233, 3395)"
2388,"(119, 74, 2729, 5472)","(749, 119, 2654, 2209)"
2389,"(823, 2016, 2958, 5472)","(1817, 2016, 2936, 3284)"
2390,"(356, 319, 3648, 5472)","(482, 311, 2669, 2676)"
2391,"(0, 267, 3648, 5472)","(1201, 259, 3240, 2335)"
2392,"(0, 534, 3411, 5048)","(808, 519, 2247, 1861)"
2393,"(860, 2113, 3240, 5100)","(1312, 2142, 2373, 3210)"
2394,"(0, 801, 3092, 4855)","(690, 808, 1957, 2216)"
2395,"(853, 2076, 2751, 4692)","(934, 2076, 2032, 3054)"
2396,"(0, 371, 2388, 5472)","(571, 378, 2380, 2253)"
2397,"(1045, 1646, 3648, 5270)","(1653, 1646, 3003, 2995)"
2398,"(0, 22, 3648, 5359)","(319, 0, 2187, 1772)"
2399,"(1060, 1394, 3648, 5137)","(1646, 1423, 3047, 2750)"
2400,"(0, 0, 3648, 5472)","(549, 0, 2795, 2394)"
2401,"(437, 511, 3648, 5152)","(719, 704, 2350, 2283)"
2402,"(1001, 1527, 3381, 4959)","(2150, 1572, 3240, 2639)"
2403,"(104, 497, 3648, 5041)","(230, 823, 1757, 2372)"
2404,"(363, 1527, 3270, 4677)","(1972, 1534, 3233, 2683)"
2405,"(141, 1067, 3648, 5472)","(519, 1549, 2098, 3032)"
2406,"(341, 1935, 3648, 5472)","(2336, 2135, 3633, 3314)"
2407,"(1158, 1689, 2403, 4123)","(1483, 1673, 2260, 2418)"
2408,"(1190, 2529, 2435, 3909)","(1935, 2545, 2451, 3076)"
2409,"(1166, 1942, 2617, 4266)","(1515, 1958, 2308, 2846)"
2410,"(1269, 2743, 2585, 3933)","(1983, 2823, 2443, 3385)"
2411,"(1007, 2061, 2403, 4329)","(1340, 2069, 2102, 2894)"
2412,"(1079, 2870, 2371, 4020)","(1792, 3005, 2284, 3528)"
2413,"(555, 1562, 2490, 4488)","(991, 1570, 1903, 2529)"
2414,"(452, 1562, 2411, 4567)","(952, 1554, 1824, 2561)"
2415,"(777, 1483, 2720, 4511)","(1420, 1498, 2300, 2426)"
2416,"(0, 373, 3648, 5472)","(1998, 349, 3648, 2125)"
2417,"(484, 928, 3315, 5472)","(484, 928, 1816, 2497)"
2418,"(833, 737, 3378, 5471)","(1784, 769, 3363, 2363)"
2419,"(1689, 2545, 2855, 5003)","(1681, 2545, 2855, 3489)"
2420,"(904, 1911, 2633, 4155)","(1356, 1895, 2125, 2735)"
2421,"(1023, 1689, 2577, 4091)","(1657, 1673, 2482, 2497)"
2422,"(198, 1150, 2784, 4622)","(1634, 1269, 2506, 2854)"
2423,"(0, 2275, 2181, 5472)","(1094, 2260, 2221, 3401)"
2424,"(0, 1919, 2300, 5472)","(999, 1919, 2133, 2989)"
2425,"(983, 1316, 2926, 4059)","(1142, 2767, 2189, 4036)"
2426,"(2435, 4424, 3648, 5472)",
2427,"(1626, 928, 3545, 4345)","(1911, 1110, 2839, 2402)"
2428,"(658, 151, 3648, 5472)","(1110, 135, 2538, 1554)"
2429,"(793, 2006, 2244, 4614)","(1713, 2149, 2189, 2934)"
2430,"(1895, 825, 3037, 2513)","(2300, 840, 2918, 1514)"
2431,"(666, 936, 3148, 4749)","(682, 967, 1721, 2053)"
2432,"(1832, 1253, 2990, 2878)","(2316, 1253, 2926, 1935)"
2433,"(563, 1332, 3117, 5217)","(579, 1340, 1562, 2497)"
2434,"(1761, 1007, 3077, 2783)","(2109, 999, 2760, 1752)"
2435,"(444, 1110, 3236, 5391)","(444, 1134, 1657, 2434)"
2436,"(1713, 1165, 3283, 2014)","(1697, 1158, 2324, 1839)"
2437,"(682, 1078, 3418, 5288)","(666, 1070, 1792, 2379)"
2438,"(389, 1300, 1404, 3211)","(595, 1300, 1221, 1990)"
2439,"(1253, 1419, 3648, 4702)","(1245, 1443, 1872, 2505)"
2440,"(270, 2450, 944, 3766)",
2441,"(0, 1276, 2918, 4464)","(0, 1276, 872, 2323)"
2442,"(500, 2886, 1665, 4258)","(500, 3013, 1047, 3687)"
2443,"(1261, 1855, 2926, 4741)","(1261, 1871, 2157, 2902)"
2444,"(809, 2442, 1998, 4162)","(809, 2458, 1388, 3148)"
2445,"(1182, 1871, 3363, 4813)","(1174, 1855, 2149, 2775)"
2446,"(1467, 2402, 2435, 3243)","(1467, 2418, 2038, 2934)"
2447,"(373, 2521, 3164, 5217)","(397, 2553, 1324, 3338)"
2448,"(1110, 2664, 1998, 4392)","(1174, 2664, 1427, 3187)"
2449,"(1301, 2157, 3077, 5368)","(1293, 2196, 2149, 3052)"
2450,"(1404, 2371, 2324, 4075)","(1451, 2386, 1737, 2989)"
2451,"(1642, 1895, 3426, 5011)","(1642, 1887, 2490, 2926)"
2452,"(1404, 2894, 2236, 4297)",
2453,"(1396, 2236, 3418, 5472)","(1372, 2244, 2213, 3346)"
2454,"(1451, 1535, 2117, 2855)",
2455,"(1523, 690, 3331, 3648)","(1523, 678, 2367, 1654)"
2456,"(381, 1728, 3045, 3782)","(722, 2371, 1316, 2981)"
2457,"(1427, 2244, 2815, 4551)","(1832, 2260, 2300, 2743)"
2458,"(690, 1578, 2871, 4472)","(1301, 1554, 2038, 2252)"
2459,"(896, 1562, 2760, 4495)","(1864, 1562, 1959, 2014)"
2460,"(1079, 1602, 2728, 4194)","(1197, 1625, 2109, 2624)"
2461,"(1737, 642, 3771, 3331)","(1927, 642, 2379, 1547)"
2462,"(2308, 286, 4318, 3165)","(2415, 274, 3378, 1225)"
2463,"(2462, 476, 4592, 3450)","(2784, 512, 3747, 1487)"
2464,"(2201, 202, 4152, 3272)","(2462, 262, 3378, 1261)"
2465,"(1277, 1324, 3363, 4162)","(1642, 1348, 2371, 2204)"
2466,"(0, 3750, 1047, 4099)",
2467,"(944, 1173, 3101, 3980)","(1372, 1213, 2339, 2228)"
2468,"(975, 2053, 3180, 4797)","(1348, 2038, 2244, 3084)"
2469,"(0, 571, 785, 2879)","(0, 547, 749, 1154)"
2470,"(4342, 869, 5472, 2903)",
2471,"(297, 559, 2058, 3260)","(999, 571, 1713, 1154)"
2472,"(4734, 1404, 5472, 1844)",
2473,"(0, 0, 856, 2142)",
2474,"(1364, 1269, 3133, 4266)","(1586, 1292, 2538, 2283)"
2475,"(1086, 1039, 2839, 4028)","(1356, 1054, 2316, 2157)"
2476,"(960, 1197, 2673, 4162)","(1348, 1213, 2221, 2323)"
2477,"(1396, 1950, 2680, 3742)","(1412, 1950, 2070, 2577)"
2478,"(1412, 2537, 2577, 4416)","(1420, 2577, 2062, 3195)"
2479,"(0, 928, 2776, 5027)","(1245, 928, 2522, 2133)"
2480,"(579, 119, 3101, 5375)","(1396, 95, 3109, 1697)"
2481,"(1705, 2109, 2831, 5312)","(1832, 2069, 2855, 3171)"
2482,"(650, 262, 3648, 5360)","(1491, 238, 2998, 1966)"
2483,"(492, 1165, 3616, 5209)","(1554, 1158, 2942, 3100)"
2484,"(690, 476, 4830, 3648)","(1523, 523, 3878, 2463)"
2485,"(0, 317, 2918, 5472)","(1293, 317, 2942, 1942)"
2486,"(1832, 2141, 2847, 4963)","(1895, 2196, 2847, 3100)"
2487,"(254, 412, 3077, 5472)","(1118, 404, 2815, 2141)"
2488,"(2086, 2220, 3069, 4963)","(2109, 2260, 3101, 3235)"
2489,"(278, 317, 3125, 5472)","(1229, 309, 3006, 2085)"
2490,"(2133, 2149, 3188, 4789)","(2125, 2149, 3188, 3116)"
2491,"(373, 365, 3648, 5472)","(936, 626, 2562, 2149)"
2492,,"(0, 4472, 753, 5472)"
2493,"(571, 0, 3648, 5472)","(1102, 452, 2974, 1808)"
2494,,
2495,"(0, 1031, 1705, 5177)","(603, 1062, 1523, 1792)"
2496,"(412, 1158, 2601, 4852)","(1737, 1165, 2641, 1879)"
2497,"(1126, 1094, 2831, 3512)","(1784, 1070, 2451, 1673)"
2498,"(1463, 428, 3783, 3343)","(2296, 452, 3140, 1273)"
2499,"(1368, 547, 3795, 3486)","(1915, 559, 2867, 1416)"
2500,"(1031, 1562, 3434, 4202)","(1316, 1530, 2094, 2204)"
2501,"(611, 1570, 3426, 4004)","(1221, 1594, 2014, 2466)"
2502,"(1594, 1982, 2998, 4583)","(1800, 1982, 2633, 2918)"
2503,"(452, 1300, 1562, 3592)","(452, 1308, 968, 1681)"
2504,"(0, 1047, 1848, 4289)",
2505,,"(777, 4662, 2458, 5472)"
2506,"(0, 2799, 2569, 4836)",
2507,"(1071, 1673, 2213, 3171)","(1459, 1665, 2197, 2490)"
2508,"(0, 1475, 1261, 4551)",
2509,"(0, 4289, 1626, 5472)","(0, 4266, 761, 5472)"
